"nut","Plot","type","val","extract"
"Calcium",3,"gm2_2017_0.20cm",102.48,"aa"
"Calcium",5,"gm2_2017_0.20cm",108.65,"aa"
"Calcium",6,"gm2_2017_0.20cm",99.04,"aa"
"Calcium",9,"gm2_2017_0.20cm",143.18,"aa"
"Calcium",11,"gm2_2017_0.20cm",127.72,"aa"
"Calcium",12,"gm2_2017_0.20cm",153.5,"aa"
"Calcium",14,"gm2_2017_0.20cm",105.65,"aa"
"Calcium",15,"gm2_2017_0.20cm",138.65,"aa"
"Calcium",16,"gm2_2017_0.20cm",102.53,"aa"
"Calcium",20,"gm2_2017_0.20cm",112.57,"aa"
"Calcium",22,"gm2_2017_0.20cm",122.18,"aa"
"Calcium",24,"gm2_2017_0.20cm",119.66,"aa"
"Calcium",26,"gm2_2017_0.20cm",128.98,"aa"
"Calcium",27,"gm2_2017_0.20cm",158.99,"aa"
"Calcium",28,"gm2_2017_0.20cm",124.43,"aa"
"Calcium",29,"gm2_2017_0.20cm",97.59,"aa"
"Calcium",30,"gm2_2017_0.20cm",149.43,"aa"
"Calcium",31,"gm2_2017_0.20cm",93.74,"aa"
"Calcium",33,"gm2_2017_0.20cm",109.15,"aa"
"Calcium",34,"gm2_2017_0.20cm",140.02,"aa"
"Calcium",35,"gm2_2017_0.20cm",170.38,"aa"
"Calcium",44,"gm2_2017_0.20cm",125.98,"aa"
"Calcium",45,"gm2_2017_0.20cm",114.12,"aa"
"Calcium",46,"gm2_2017_0.20cm",143.98,"aa"
"Calcium",48,"gm2_2017_0.20cm",108.56,"aa"
"Calcium",50,"gm2_2017_0.20cm",134.17,"aa"
"Calcium",53,"gm2_2017_0.20cm",129.52,"aa"
"Calcium",56,"gm2_2017_0.20cm",147.7,"aa"
"Calcium",57,"gm2_2017_0.20cm",130.33,"aa"
"Calcium",58,"gm2_2017_0.20cm",105.76,"aa"
"Calcium",62,"gm2_2017_0.20cm",136,"aa"
"Calcium",67,"gm2_2017_0.20cm",149.66,"aa"
"Calcium",68,"gm2_2017_0.20cm",131.61,"aa"
"Calcium",69,"gm2_2017_0.20cm",97.88,"aa"
