"Plot","NumSp","nut","type","val.g","mono","diff"
46,16,"Calcium","Root.0.30cm",7.68,4.1471875,85.185743350162
48,2,"Nitrogen","Abv",2.53,1.2978125,94.9434143992295
48,2,"Potassium","Abv",0.99,0.8584375,15.3258099745177
48,2,"Magnesium","Abv",0.3,0.3021875,-0.723888314374357
48,2,"Calcium","Abv",1.3,1.108125,17.3152848279752
48,2,"Nitrogen","Root.0.30cm",5.28,4.388125,20.3247400655177
48,2,"Potassium","Root.0.30cm",1.26,1.6984375,-25.8141674333027
48,2,"Magnesium","Root.0.30cm",0.69,0.9275,-25.6064690026954
48,2,"Calcium","Root.0.30cm",3.72,4.1471875,-10.3006555647653
50,8,"Nitrogen","Abv",2.35,1.2978125,81.0739224656875
50,8,"Potassium","Abv",1.44,0.8584375,67.7466326902075
50,8,"Magnesium","Abv",0.43,0.3021875,42.2957600827301
50,8,"Calcium","Abv",1.5,1.108125,35.3637901861252
50,8,"Nitrogen","Root.0.30cm",7.68,4.388125,75.0178037316622
50,8,"Potassium","Root.0.30cm",1.8,1.6984375,5.97976080956762
50,8,"Magnesium","Root.0.30cm",1.12,0.9275,20.7547169811321
50,8,"Calcium","Root.0.30cm",10.04,4.1471875,142.091779067139
53,4,"Nitrogen","Abv",1.36,1.2978125,4.79171683120636
53,4,"Potassium","Abv",1.07,0.8584375,24.6450673461959
53,4,"Magnesium","Abv",0.29,0.3021875,-4.03309203722855
53,4,"Calcium","Abv",1.02,1.108125,-7.95262267343486
53,4,"Nitrogen","Root.0.30cm",4.85,4.388125,10.5255661586669
53,4,"Potassium","Root.0.30cm",1.56,1.6984375,-8.1508739650414
53,4,"Magnesium","Root.0.30cm",0.69,0.9275,-25.6064690026954
53,4,"Calcium","Root.0.30cm",5.03,4.1471875,21.2870168035566
56,2,"Nitrogen","Abv",1.53,1.2978125,17.8906814351072
56,2,"Potassium","Abv",1.45,0.8584375,68.9115398616673
56,2,"Magnesium","Abv",0.36,0.3021875,19.1313340227508
56,2,"Calcium","Abv",1.07,1.108125,-3.44049633389735
56,2,"Nitrogen","Root.0.30cm",8.84,4.388125,101.452784503632
56,2,"Potassium","Root.0.30cm",3.82,1.6984375,124.91260349586
56,2,"Magnesium","Root.0.30cm",1.75,0.9275,88.6792452830189
56,2,"Calcium","Root.0.30cm",8.4,4.1471875,102.54690678924
57,8,"Nitrogen","Abv",3.74,1.2978125,188.177221285817
57,8,"Potassium","Abv",2.58,0.8584375,200.546050236622
57,8,"Magnesium","Abv",0.76,0.3021875,151.499482936918
57,8,"Calcium","Abv",2.49,1.108125,124.703891708968
57,8,"Nitrogen","Root.0.30cm",9.44,4.388125,115.126050420168
57,8,"Potassium","Root.0.30cm",3.95,1.6984375,132.566697332107
57,8,"Magnesium","Root.0.30cm",1.76,0.9275,89.7574123989218
57,8,"Calcium","Root.0.30cm",14.92,4.1471875,259.761886820888
58,4,"Nitrogen","Abv",1.2,1.2978125,-7.53672044305322
58,4,"Potassium","Abv",2.1,0.8584375,144.630506006553
58,4,"Magnesium","Abv",0.43,0.3021875,42.2957600827301
58,4,"Calcium","Abv",1.72,1.108125,55.2171460800902
58,4,"Nitrogen","Root.0.30cm",3.81,4.388125,-13.1747614299957
58,4,"Potassium","Root.0.30cm",2.75,1.6984375,61.9135234590616
58,4,"Magnesium","Root.0.30cm",0.92,0.9275,-0.808625336927218
58,4,"Calcium","Root.0.30cm",6.35,4.1471875,53.1158164418657
62,4,"Nitrogen","Abv",2.24,1.2978125,72.598121839634
62,4,"Potassium","Abv",1.29,0.8584375,50.2730251183109
62,4,"Magnesium","Abv",0.39,0.3021875,29.0589451913133
62,4,"Calcium","Abv",1.36,1.108125,22.7298364354202
62,4,"Nitrogen","Root.0.30cm",5.59,4.388125,27.3892607890614
62,4,"Potassium","Root.0.30cm",1.73,1.6984375,1.85832566697332
62,4,"Magnesium","Root.0.30cm",0.94,0.9275,1.3477088948787
62,4,"Calcium","Root.0.30cm",6.27,4.1471875,51.1867982819682
67,8,"Nitrogen","Abv",3.27,1.2978125,151.96243679268
67,8,"Potassium","Abv",4.7,0.8584375,447.506370586094
67,8,"Magnesium","Abv",0.82,0.3021875,171.354705274043
67,8,"Calcium","Abv",3.68,1.108125,232.092498589961
67,8,"Nitrogen","Root.0.30cm",9.51,4.388125,116.721264777097
67,8,"Potassium","Root.0.30cm",5.99,1.6984375,252.677092916283
67,8,"Magnesium","Root.0.30cm",2.35,0.9275,153.369272237197
