"Nutrient","Plot","NumSp","unit","0.20cm_1994","0.20cm_2017","20.40cm_2017","Bulk.Density.g.cm3_0.20cm_1994","Bulk.Density.g.cm3_0.20cm_2017","Bulk.Density.g.cm3_20.40cm_2017","bd.pred","Depth_add_cm","gm2_1994_0.20cm","gm2_2017_u","gm2_2017_add","gm2_2017_0.20cm"
"Calcium",142,1,"mgX.kgSoil",407.56,469.72,444.88,1.46,1.56,1.71,"measured",-1.28205128205128,119.00752,146.55264,-9.3944,137.15824
"Calcium",146,8,"mgX.kgSoil",333.66,411.34,438.2,1.43,1.35,1.57,"measured",1.01910828025478,95.42676,111.0618,7.0112,118.073
"Calcium",149,4,"mgX.kgSoil",397.11,507.64,366.62,1.43,1.39,1.64,"predicted",0.487804878048781,113.57346,141.12392,2.93296,144.05688
"Calcium",156,16,"mgX.kgSoil",314.78,457.25,353.16,1.46,1.39,1.74,"measured",0.804597701149425,91.91576,127.1155,4.94424,132.05974
"Calcium",157,2,"mgX.kgSoil",356.3,403.9,452.18,1.44,1.43,1.67,"predicted",0.119760479041916,102.6144,115.5154,0.90436,116.41976
"Calcium",160,16,"mgX.kgSoil",197.88,466.73,307.24,1.46,1.49,1.73,"measured",-0.402684563758389,57.78096,139.08554,-2.80038,136.28516
"Calcium",163,1,"mgX.kgSoil",419.7,457.81,395.88,1.41,1.57,1.74,"measured",-2.03821656050955,118.3554,143.75234,-14.64992,129.10242
"Calcium",164,16,"mgX.kgSoil",455.24,555.3,372.38,1.46,1.49,1.77,"measured",-0.402684563758389,132.93008,165.4794,-3.3318,162.1476
"Calcium",165,2,"mgX.kgSoil",487.93,495.21,471.04,1.4,1.39,1.64,"predicted",0.121951219512195,136.6204,137.66838,0.94208,138.61046
"Calcium",167,1,"mgX.kgSoil",409.7,436.7,400.83,1.48,1.45,1.69,"predicted",0.355029585798817,121.2712,126.643,2.40498,129.04798
"Calcium",168,2,"mgX.kgSoil",481.17,465.29,411.07,1.46,1.41,1.71,"measured",0.584795321637427,140.50164,131.21178,4.1107,135.32248
"Calcium",169,16,"mgX.kgSoil",398.58,582.38,409.03,1.48,1.42,1.66,"predicted",0.72289156626506,117.97968,165.39592,4.90836,170.30428
"Calcium",170,8,"mgX.kgSoil",384.04,471.63,321.01,1.47,1.44,1.68,"predicted",0.357142857142857,112.90776,135.82944,1.92606,137.7555
"Calcium",171,2,"mgX.kgSoil",446.52,600.85,397.59,1.46,1.43,1.58,"measured",0.379746835443038,130.38384,171.8431,2.38554,174.22864
"Calcium",174,16,"mgX.kgSoil",469.87,620.13,374.62,1.42,1.39,1.64,"predicted",0.365853658536585,133.44308,172.39614,2.24772,174.64386
"Calcium",175,2,"mgX.kgSoil",499.72,654.64,485.06,1.46,1.29,1.29,"measured",2.63565891472868,145.91824,168.89712,16.49204,185.38916
"Calcium",176,4,"mgX.kgSoil",442.06,481.65,459.94,1.42,1.44,1.68,"predicted",-0.277777777777778,125.54504,138.7152,-1.9266,136.7886
"Calcium",177,8,"mgX.kgSoil",349.35,474.04,319.2,1.42,1.38,1.63,"predicted",0.49079754601227,99.2154,130.83504,2.5536,133.38864
"Calcium",178,8,"mgX.kgSoil",511.18,567.33,447.27,1.32,1.31,1.59,"measured",0.125786163522011,134.95152,148.64046,0.894539999999987,149.535
"Calcium",185,1,"mgX.kgSoil",262.66,362.1,358.36,1.42,1.59,1.84,"measured",-2.13836477987421,74.59544,115.1478,-12.3114,102.8364
"Calcium",186,16,"mgX.kgSoil",291.35,562.71,418.91,1.38,1.39,1.64,"predicted",-0.143884892086331,80.4126,156.43338,-1.12542,155.30796
"Calcium",190,4,"mgX.kgSoil",389.19,426.99,424.48,1.4,1.5,1.74,"measured",-1.33333333333333,108.9732,128.097,-8.5398,119.5572
"Calcium",193,2,"mgX.kgSoil",318.94,597.89,361.7,1.47,1.35,1.59,"measured",1.50943396226415,93.76836,161.4303,8.6808,170.1111
"Calcium",197,2,"mgX.kgSoil",374.14,442.4,396.47,1.4,1.49,1.7,"measured",-1.20805369127517,104.7592,131.8352,-7.9632,123.872
"Calcium",199,4,"mgX.kgSoil",281.88,631.56,372.14,1.43,1.38,1.63,"predicted",0.613496932515337,80.61768,174.31056,3.7214,178.03196
"Calcium",201,4,"mgX.kgSoil",508.58,657.6,382.13,1.43,1.37,1.62,"predicted",0.740740740740741,145.45388,180.1824,4.58556,184.76796
