"Plot","NumSp","Species","Fgset","Fgset2","soil_diffgm2_0.20cm_Calcium_aa","soil_diffgm2_0.20cm_Carbon_ea","soil_diffgm2_0.20cm_CEC_aa","soil_diffgm2_0.20cm_Magnesium_aa","soil_diffgm2_0.20cm_Nitrogen_ea","soil_diffgm2_0.20cm_pH_1:1w","soil_diffgm2_0.20cm_Phosphorus_bray","soil_diffgm2_0.20cm_Potassium_aa","gm2_1994_0.20cm_Calcium_aa","gm2_1994_0.20cm_Carbon_ea","gm2_1994_0.20cm_CEC_aa","gm2_1994_0.20cm_Magnesium_aa","gm2_1994_0.20cm_Nitrogen_ea","gm2_1994_0.20cm_pH_1:1w","gm2_1994_0.20cm_Phosphorus_bray","gm2_1994_0.20cm_Potassium_aa","gm2_2017_0.20cm_Calcium_aa","gm2_2017_0.20cm_Carbon_ea","gm2_2017_0.20cm_CEC_aa","gm2_2017_0.20cm_Magnesium_aa","gm2_2017_0.20cm_Nitrogen_ea","gm2_2017_0.20cm_pH_1:1w","gm2_2017_0.20cm_Phosphorus_bray","gm2_2017_0.20cm_Potassium_aa","AbvBioAnnProd.2015.2017","Root030cm.2015.2017","TotalProd.2015.2017","Nitrogen_gm2_Abv","Phosphorus_gm2_Abv","Potassium_gm2_Abv","Magnesium_gm2_Abv","Calcium_gm2_Abv","Nitrogen_gm2_Root.0.30cm","Phosphorus_gm2_Root.0.30cm","Potassium_gm2_Root.0.30cm","Magnesium_gm2_Root.0.30cm","Calcium_gm2_Root.0.30cm","Calcium_total.soil.plant.g.m2","Magnesium_total.soil.plant.g.m2","Nitrogen_total.soil.plant.g.m2","Phosphorus_total.soil.plant.g.m2","Potassium_total.soil.plant.g.m2"
20,1,"Amoca","L","L",-9.41,-14.18,-0.18,-1.76,-11.47,0.2,-4.11,0.55,121.98,1030.08,2.73,21.3,103.6,5.7,13.02,5.59,112.57,1015.9,2.55,19.54,92.13,5.9,8.92,6.14,294.41,785,1079.41,5.77,0.5,0.82,0.62,4.71,9.81,2.04,1.73,2.43,7.46,2.76,1.29,4.11,-1.57,3.1
22,8,"Agrsm Asctu Elyca Koecr Liaas Monfi Petca Petvi Quema Solri","3FL","GFL",6.96,49.82,0.2,2.45,-12.88,0.6,-0.91,1.73,115.22,971.48,2.55,19.07,101.32,5.7,13.11,7.8,122.18,1021.3,2.75,21.51,88.44,6.3,12.2,9.53,299.49,412.38,711.86,3.71,0.45,3.32,0.9,3.23,4.37,0.74,1.73,0.91,4.66,14.85,4.26,-4.8,0.28,6.78
24,4,"Asctu Elyca Panvi Schsc","34F","GF",13.3,214.33,0.32,4.29,-2.48,0.7,-4.13,-2.67,106.36,1080.4,2.44,18.88,103.6,5.5,14.8,10.78,119.66,1294.73,2.76,23.17,101.12,6.2,10.67,8.11,83.42,505.2,588.62,0.8,0.17,0.7,0.21,0.68,2.88,0.56,0.91,0.71,2.73,16.71,5.21,1.2,-3.4,-1.06
26,4,"Agrsm Elyca Petpu Sornu","34L","GL",12.16,631.25,0.2,-1.68,30.6,0.6,-4.63,2,116.82,1357.2,2.86,26.04,121.8,5.6,16.53,8.47,128.98,1988.45,3.06,24.36,152.4,6.2,11.9,10.47,174.9,1008.41,1183.31,1.84,0.33,1.56,0.38,1.47,7.56,1.21,2.82,1.61,9.68,23.31,0.31,40,-3.09,6.38
27,16,"Achmi Agrsm Amoca Asctu Koecr Lesca Liaas Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri Sornu","34FL","GFL",33.73,175.07,0.8,3.96,20.64,0.7,-1.11,5.35,125.26,1740.92,2.98,23.49,133.48,5.7,9.94,6.73,158.99,1915.99,3.78,27.45,154.12,6.4,8.83,12.07,248.98,1180.07,1429.05,2.46,0.42,2.94,0.62,2.71,9.91,1.77,4.37,2.12,17.47,53.91,6.7,33.01,1.08,12.66
28,4,"Lesca Petpu Queel Quema","L","L",12.78,491.85,0.24,0.75,34.97,0.4,-2.6,-1.38,111.65,1096.62,2.64,22.09,108.78,5.5,14.7,10.1,124.43,1588.47,2.88,22.85,143.75,5.9,12.1,8.72,159.81,592.57,752.37,2.68,0.35,1.13,0.42,1.85,7.76,1.07,1.84,1.01,5.87,20.5,2.18,45.41,-1.18,1.59
29,1,"Lesca","L","L",32.47,124.37,0.65,4.91,6.15,0.5,-2.62,-4.05,65.12,1258.52,1.53,10.42,113.88,5.1,13.72,9.67,97.59,1382.89,2.18,15.33,120.03,5.6,11.1,5.62,52.53,307.96,360.48,0.77,0.14,0.38,0.19,0.44,3.23,0.43,0.68,0.49,2.74,35.65,5.59,10.15,-2.05,-2.99
30,16,"Achmi Agrsm Amoca Andge Asctu Elyca Koecr Liaas Luppe Monfi Panvi Poapr Queel Quema Schsc Solri Sornu","34FL","GFL",68.88,819.28,1.59,12.37,45.46,1,-2.63,4.4,80.55,1196.58,1.77,9.95,120.54,5.1,12.35,9.14,149.43,2015.86,3.36,22.33,166,6.1,9.72,13.54,281.98,1367.14,1649.12,2.96,0.51,3.41,0.59,2.71,7.66,1.64,4.51,1.78,6.84,78.43,14.74,56.08,-0.48,12.32
31,1,"Schsc","4","G",6.26,407.83,0.22,5.02,7.39,0.7,-0.6,0.09,87.49,691.58,1.79,8.61,72.48,5.2,9.66,7.21,93.74,1099.41,2.01,13.63,79.88,5.9,9.06,7.31,41.21,950.88,992.08,0.36,0.08,0.35,0.06,0.3,5.61,1.14,1.62,1.33,5.52,12.08,6.41,13.36,0.62,2.06
33,4,"Agrsm Andge Liaas Petca Petvi","34FL","GFL",38.2,378.88,0.92,8.7,15.11,0.7,-4.12,3.66,70.95,1090.74,1.54,8.22,105.84,5.2,12.94,7.71,109.15,1469.62,2.46,16.92,120.95,5.9,8.81,11.38,189.81,1121.05,1310.87,2.2,0.34,2.11,0.51,1.92,5.16,1.23,3.59,1.35,6.17,46.29,10.56,22.47,-2.55,9.36
